city;tid;link_A;link_B
Plzeò;A001;https://www.google.cz/maps/place/49%C2%B044'46.6%22N+13%C2%B021'41.0%22E/@49.746274,13.3606192,18z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.746274!4d13.361393;https://www.google.cz/maps/place/49%C2%B044'45.4%22N+13%C2%B021'52.5%22E/@49.745952,13.3634997,18z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.745952!4d13.364594
Plzeò;A002;https://www.google.cz/maps/place/49%C2%B045'05.8%22N+13%C2%B022'15.1%22E/@49.751601,13.3686713,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.751601!4d13.37086;https://www.google.cz/maps/place/49%C2%B045'04.7%22N+13%C2%B022'21.7%22E/@49.751299,13.3721588,19z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.751299!4d13.372706
Plzeò;A003;https://www.google.cz/maps/place/49%C2%B045'06.2%22N+13%C2%B022'35.5%22E/@49.75172,13.3751362,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.75172!4d13.376515;https://www.google.cz/maps/place/49%C2%B045'06.8%22N+13%C2%B022'43.5%22E/@49.7519,13.3765633,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.7519!4d13.378752
Plzeò;A004;https://www.google.cz/maps/place/49%C2%B044'56.8%22N+13%C2%B022'33.1%22E/@49.7491,13.3736593,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.7491!4d13.375848;https://www.google.cz/maps/place/49%C2%B044'55.8%22N+13%C2%B022'45.4%22E/@49.74883,13.3770923,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.74883!4d13.379281
Plzeò;A005;https://www.google.cz/maps/place/49%C2%B045'57.8%22N+13%C2%B022'09.2%22E/@49.766044,13.3670283,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.766044!4d13.369217;https://www.google.cz/maps/place/49%C2%B045'58.0%22N+13%C2%B021'59.0%22E/@49.766096,13.3652907,18z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.766096!4d13.366385
Plzeò;A006;https://www.google.cz/maps/place/49%C2%B046'30.9%22N+13%C2%B022'44.5%22E/@49.775246,13.3768273,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.775246!4d13.379016;https://www.google.cz/maps/place/49%C2%B046'30.5%22N+13%C2%B022'30.0%22E/@49.775149,13.3728143,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.775149!4d13.375003
Plzeò;A007;https://www.google.cz/maps/place/49%C2%B045'15.9%22N+13%C2%B025'25.9%22E/@49.754421,13.4216593,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.754421!4d13.423848;https://www.google.cz/maps/place/49%C2%B045'20.2%22N+13%C2%B025'17.4%22E/@49.755599,13.4193203,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.755599!4d13.421509
Plzeò;A008;https://www.google.cz/maps/place/49%C2%B043'43.4%22N+13%C2%B023'46.0%22E/@49.728724,13.3947312,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.728724!4d13.39611;https://www.google.cz/maps/place/49%C2%B043'46.7%22N+13%C2%B023'54.7%22E/@49.729646,13.3963403,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.729646!4d13.398529
Plzeò;A009;https://www.google.cz/maps/place/49%C2%B043'48.4%22N+13%C2%B020'13.8%22E/@49.73012,13.3349763,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.73012!4d13.337165;https://www.google.cz/maps/place/49%C2%B043'40.1%22N+13%C2%B020'13.1%22E/@49.727803,13.3347773,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.727803!4d13.336966
Plzeò;A010;https://www.google.cz/maps/place/49%C2%B043'18.6%22N+13%C2%B022'36.4%22E/@49.721831,13.3746536,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.721831!4d13.37678;https://www.google.cz/maps/place/49%C2%B043'17.9%22N+13%C2%B022'27.9%22E/@49.72163,13.3722293,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.72163!4d13.374418
